1,Newfoundland and Labrador (NL),Labrador City,American Robin,Mauv,1.jpg
2,Manitoba (MB),Cranberry Portage,Great Horned Owl,Pink,2.jpg
3,Yukon (YT),Whitehorse,Canada Goose,Purple,3.jpg
4,Saskatchewan (SK),Avonlea,Common Goldeneye,Mauv,4.jpg
5,Northwest Territories (NT),Town of Hay River,Downy Woodpecker,Khaki,7.jpg
6,British Columbia (BC),City of Port Moody,Common Raven,Blue,6.jpg
7,Saskatchewan (SK),Colonsay,Black Magpie,Pink,5.jpg
8,Nova Scotia (NS),Pictou,Black-capped Chickadee,Turquoise,8.jpg
9,Newfoundland and Labrador (NL),Argentia,Red-breasted Nuthatch,Aquamarine,9.jpg
10,New Brunswick (NB),Miramichi,Bufflehead,Fuscia,10.jpg
