BC Animal Hospital,Surrey,BC,15375 King George Blvd Frontage Rd
University Veterinary Clinic,Vancouver,BC,4416W 10th Ave #103
Colborne Hospital,Simcoe,ON,2512 ON-24 N
Pine Ridge Veterinary Clinic,Cobourg,ON,483 Ontario St
Heartland Hospital,Airdrie,AB,2700 Main St S #300
Alberta Veterinary Center,Red Deer County,AB,202 Burnt Ridge Road
McPhillips Animal Hospital,Winnipeg,MB,2211-B McPhillips St
Animal Hospital of Manitoba,Winnipeg,MB,995 Main St
Companion Animal Hospital,Yorkton,SK,308 Broadway St W
White Rock Hospital,Surrey,BC,2460 152 St
